spot_slug,slug,neighborhood,mall,hours,address,min_budget,max_people,menu_url,whatsapp,phone,instagram,latitude,longitude,is_active,sort_order
greens-bolos-club,greens-bolos-club-ciudad-jardin,Ciudad Jardin,Green's Plaza,Mar-Jue 16:00-22:00 · Vie-Sab 16:00-00:00 · Dom-Fest 14:00-22:00 · Lun Cerrado,"C.C. Green's Plaza, Calle 18 #106-46, Piso 3, Ciudad Jardin, Cali",25000,8,,https://wa.me/573167429669,3167429669,, , ,true,20
space-jump,space-jump-pacific-center,Chipichape,Pacific Center,Lun-Jue 14:00-20:00 · Vie 14:00-21:00 · Sab 10:00-21:00 · Dom 10:00-20:00,"Calle 36N #6A-65, Pacific Center, Local 304-305, Cali",50000,6,https://spacejump.com.co/,https://wa.me/573222375347,3227375347,https://instagram.com/spacejumpcali,,,true,10
space-jump,space-jump-el-parque-pance,Pance,El Parque Cocina al Aire Libre,Lun-Jue 14:00-20:00 · Vie 14:00-21:00 · Sab 13:00-21:00 · Dom-Fest 13:00-20:00,"Cra. 111 #18-171, El Parque Cocina al Aire Libre, Cali",50000,6,https://spacejump.com.co/,https://wa.me/573222375347,3227375347,https://instagram.com/spacejumpcali,,,true,20
mister-wings,mister-wings-bochalema-plaza,Bochalema,Bochalema Plaza,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Bochalema Plaza Ancla 4, Cali",30000,6,https://misterwings.com/,https://wa.me/573172115255,6023481293,, , ,true,10
mister-wings,mister-wings-pance,Pance,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cra. 122 #16A-36, Cali",30000,6,https://misterwings.com/,https://wa.me/573174160346,6023482651,, , ,true,20
mister-wings,mister-wings-ciudad-jardin,Ciudad Jardin,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cra. 105 #14-05, Cali",30000,6,https://misterwings.com/,https://wa.me/573506330619,6023450609,, , ,true,30
mister-wings,mister-wings-jardin-plaza,Ciudad Jardin,Jardín Plaza,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"C.C. Jardín Plaza, Local R-30, Cali",30000,6,https://misterwings.com/,https://wa.me/573506330620,6023737303,, , ,true,40
mister-wings,mister-wings-unicentro,Ciudad Jardin,Unicentro,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"C.C. Unicentro, Local 399E, Paradiso Food Garden, Cali",30000,6,https://misterwings.com/,https://wa.me/573183476971,6024850194,, , ,true,50
mister-wings,mister-wings-limonar,Limonar,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cl. 9 #62A-25, Cali",30000,6,https://misterwings.com/,https://wa.me/573016764024,6023450906,, , ,true,60
mister-wings,mister-wings-san-fernando,San Fernando,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cra. 34 #4-12, Cali",30000,6,https://misterwings.com/,https://wa.me/573013664141,6024045658,, , ,true,70
mister-wings,mister-wings-granada,Granada,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cl. 10 Nte. #8N-43, Cali",30000,6,https://misterwings.com/,https://wa.me/573174286302,6023451443,, , ,true,80
mister-wings,mister-wings-chipichape,Chipichape,Chipichape,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Cl. 38 Nte. #6N-35, C.C. Chipichape, Cali",30000,6,https://misterwings.com/,https://wa.me/573012796280,6026592299,, , ,true,90
mister-wings,mister-wings-flora,La Flora,,Lun-Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-22:00,"Av. 4N con Calle 44N Esquina, Cali",30000,6,https://misterwings.com/,https://wa.me/573003654082,6024065697,, , ,true,100
karens-pizza,karens-pizza-el-limonar,El Limonar,,Lun-Mie 12:00-22:00 · Jue 12:00-23:00 · Vie 12:00-00:00 · Sab 12:00-23:00 · Dom 12:00-22:00,"Cl. 9 #62C-06, El Limonar, Cali",30000,6,https://karenspizza.com,,6025519130,, , ,true,10
karens-pizza,karens-pizza-san-fernando,San Fernando,,Lun-Vie 12:00-22:00 · Jue-Vie 12:00-23:00 · Sab 08:00-23:00 · Dom 08:00-22:00,"Carrera 34, Cali",30000,6,https://karenspizza.com,,6025542730,, , ,true,20
karens-pizza,karens-pizza-norte,Norte,,Lun-Mie 12:00-22:00 · Jue 12:00-23:00 · Vie-Sab 12:00-23:30 · Dom 12:00-22:00,"Av. 3ª E Norte, Cali",30000,6,https://karenspizza.com,,6026544230,, , ,true,30
storia-damore,storia-damore-granada,Granada,,Lun-Mie 12:00-21:00 · Jue 12:00-22:00 · Vie-Sab 12:00-23:00 · Dom 12:00-21:00,"Av. 9N #14-46, Granada, Cali",50000,6,https://co.restaurantestoriadamore.com/,https://wa.me/573009134441,6026207375,, , ,true,10
storia-damore,storia-damore-unicentro,Ciudad Jardin,Unicentro,,"C.C. Unicentro, Cali",50000,6,https://co.restaurantestoriadamore.com/,https://wa.me/573009134441,,, , ,true,20
storia-damore,storia-damore-chipichape,Chipichape,Chipichape,,"Cl. 38 Nte. #6N-45, C.C. Chipichape, Cali",50000,6,https://co.restaurantestoriadamore.com/,https://wa.me/573009134441,,, , ,true,30
dose-sky-lounge,dose-sky-lounge-san-pedro,San Pedro,,Dom 17:00-01:00 · Lun Cerrado · Mar-Mie 17:00-00:00 · Jue 17:00-01:00 · Vie-Sab 17:00-03:00,"Cra 3 #10-55, San Pedro, Cali",60000,8,https://www.instagram.com/dose.skylounge/,,3162675140,https://www.instagram.com/dose.skylounge/,,,true,10
zorro-azul,zorro-azul-centro,Centro,,Lun-Mar 17:00-00:00 · Mie-Vie 17:00-02:30 · Sab-Dom 17:00-00:00,"Cra 4ta #11-69, Cali",30000,6,,https://wa.me/573214321988,3214321988,https://www.instagram.com/zorroazul.cali/,,,true,10
saipan-airsoft,saipan-airsoft-av-guali,Pance,,,"Cra 106 #18-160, Av. Guali, Cali",0,12,https://saipanairsoft.com/,,3176426574,, , ,true,10
ecoparque-de-la-biodiversidad,ecoparque-de-la-biodiversidad-pance,Pance,,Mar-Dom 06:00-18:00 · Lun Cerrado · Recorridos guiados 09:00 / 12:00 / 15:00,"Sector Pance, Cali",0,6,,,,, , ,true,10
