canonical_name,suggested_variants,resolved_name,db_status,web_status,category,upload_status,reason
Pampa malbec,Pampa malbec,Pampa Malbec,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Sushi Green,Sushi green,Sushi Green,exists,confirmed_active,Restaurantes,already_in_db,Ya existia en la base actual antes de esta subida.
La romanezca,La romanezca,La Romanezca,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Bendito cafe candle bar,Bendito cafe candle bar,Bendito Cafe,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Huna Huna Social Club,Huna huna,Huna Huna Social Club,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Miyamoto,Miyamoto,Miyamoto,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Crepes & waffles,Crepes & waffles,Crepes & Waffles,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Yonkers,Yonkers,Yonkers Grill And Drinks,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Winkle waffles,Winkle waffles,Winkle Waffle,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Cima del viento dapa,Cima del viento dapa,Cima del Viento Glamping,not_found_by_exact_name,confirmed_active,Naturaleza y aire libre,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Sabor gourmet,Sabor gourmet,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Karen’s pizza,Karen’s pizza,Karen’s Pizza,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Cantina la 15,Cantina la 15,Cantina La 15,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Mister wings,Mister wings,Mister Wings,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Alma restaurante,Alma restaurante,ALMA Restaurante,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Fuku ramen bar,Fuku ramen bar,Fuku Ramen Bar,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Montallegro heladeria,Montallegro heladeria,Montallegro Gelateria Italiana,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Kora vibes,Kora vibes,Kora Vibes,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Busca por dentro san antonio,Busca por dentro san antonio,Busca Por Dentro,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
El Colibri,El colibri | Colibri,El Colibri,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Dónde León,Dónde León,Donde León Cocina Dulce,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Tierradentro,Tierradentro,Tierradentro Café & Co.,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Casa D Cali,Casa D Cali,Casa D Cali,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Namaste granada,Namaste granada,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
La libélula hotel,La libélula hotel,La Libélula Hotel,not_found_by_exact_name,confirmed_active,Naturaleza y aire libre,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Espacio 10-60,Espacio 10-60,Espacio 10-60,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Bengala & Bandolero,Bengala bandolero | Bengala y bandolero,Bengala & Bandolero,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Sonido central,Sonido central,Sonido Central,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Dose sky lounge,Dose sky lounge,Dosé Sky Lounge,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Caruzo,Caruzo,Caruzo Rooftop,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Cabo leones granada,Cabo leones granada,Cabo Leones,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Intrepid,Intrepid,Intrepid 83 Club Rooftop,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La azotea,La azotea,La Azotea Gastrobar,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Vinyl bar,Vinyl bar,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Discopico,Discopico,Discopico,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La boheme,La boheme,La Bohème Restaurante-Bar,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Furtivo,Furtivo,Furtivo,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Mi sol ardiente drinks,Mi sol ardiente drinks,Mi Sol Ardiente Drinks,not_found_by_exact_name,likely_active,Vida nocturna,pending_research,Ubicado dentro de Plaza 360; falta ficha operativa confiable del lugar para subirlo sin inventar datos.
Plaza 360 (mall),Plaza 360 (mall),Plaza 360,not_applicable,mall_only,,excluded_non_place,Es un mall o hub y no debe tratarse como lugar independiente en spots.
Ecoparque biodiversidad,Ecoparque biodiversidad,Ecoparque de la Biodiversidad,not_found_by_exact_name,confirmed_active,Naturaleza y aire libre,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Palo Mulata,Palo mulata,Palo Mulata,exists,confirmed_active,Restaurantes,already_in_db,Ya existia en la base actual antes de esta subida.
Sonoma,Sonoma,Sonoma Restaurante Peruano,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Gente Comun,Gente comun | Gente común san antonio,Gente Comun,not_found_by_exact_name,likely_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Zuly arepas,Zuly arepas,Zuly Arepas,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Combo (hamburguesas),Combo (hamburguesas),,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Ostinato,Ostinato,Ostinato Pasta para Tutti,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Sattvica,Sattvica,Sattvica Cafe Bistro,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Platillos voladores,Platillos voladores,Platillos Voladores,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Ramiro’s,Ramiro’s,Ramiros Hamburguesas,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La querencia,La querencia,Restaurante La Querencia,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La fugitiva,La fugitiva,La Fugitiva Pizzeria Bar,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Papi,Papi,Papi,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Patti,Patti,Patti Gelateria,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Simon’s,Simon’s,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Maranello parque del perro,Maranello parque del perro,Maranello Pasta,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sede operativa y datos publicos consistentes.
Chelita go mex,Chelita go mex,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Brunch duquesa,Brunch duquesa,Brunch Duquesa,not_found_by_exact_name,confirmed_active,Restaurantes,active_but_not_uploaded,"Existe y opera, pero aun faltan sedes o campos clave para carga segura."
Zorro azul,Zorro azul,Zorro Azul,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La buena vida marbella,La buena vida marbella,La Buena Vida Cocina,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Mantra rooftop,Mantra rooftop,Mantra Rooftop,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Dolka,Dolka,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Odiseo,Odiseo,Odiseo Bistro,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Storia damore,Storia damore,Storia D’Amore Granada,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Amasijo brunch,Amasijo brunch,Amasijo Cocina,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Joe’s,Joe’s,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Nuevo León,Nuevo León,Nuevo Leon,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
La chocolatada 24 ciudad jardin,La chocolatada 24 ciudad jardin,La Chocolatada,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Café quindio,Café quindio,Café Quindío,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Pizza della madonna,Pizza della madonna,Pizza Della Madonna,not_found_by_exact_name,unknown,,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Pradera de minca,Pradera de minca,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Casa latte,Casa latte,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Fit bar,Fit bar,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Floret,Floret,Floret de Autor,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Carpanetto,Carpanetto,,not_found_by_exact_name,unknown,,pending_research,Falta enriquecer con datos minimos de importacion.
Guadalupe café dapa,Guadalupe café dapa,Guadalupe Café,not_found_by_exact_name,confirmed_active,Naturaleza y aire libre,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Terraza san camilo,Terraza san camilo,Terraza San Camilo,not_found_by_exact_name,confirmed_active,Vida nocturna,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
Café san camilo,Café san camilo,Café San Camilo,not_found_by_exact_name,confirmed_active,Restaurantes,uploaded_2026_04_02,Subido a Supabase en este turno con sedes y datos operativos.
